end of batch....0, cost so far 15356
end of batch....2056, cost so far 6642
end of batch....2057, cost so far 6642
end of batch....2058, cost so far 6642
end of batch....2059, cost so far 6642
end of batch....2060, cost so far 6642
end of batch....2061, cost so far 6642
end of batch....2062, cost so far 6642
end of batch....2063, cost so far 6642
end of batch....2064, cost so far 6642
end of batch....2065, cost so far 6642
end of batch....2066, cost so far 6642
end of batch....2067, cost so far 6642
end of batch....2068, cost so far 6642
end of batch....2069, cost so far 6642
end of batch....2070, cost so far 6642
end of batch....2071, cost so far 6642
end of batch....2072, cost so far 6642
end of batch....2073, cost so far 6642
end of batch....2074, cost so far 6642
end of batch....2075, cost so far 6642
end of batch....2076, cost so far 6642
end of batch....2077, cost so far 6642
end of batch....2078, cost so far 6642
end of batch....2079, cost so far 6642
end of batch....2080, cost so far 6642
end of batch....2081, cost so far 6642
end of batch....2082, cost so far 6642
end of batch....2083, cost so far 6642
end of batch....2084, cost so far 6642
end of batch....2085, cost so far 6642
end of batch....2086, cost so far 6642
end of batch....2087, cost so far 6642
end of batch....2088, cost so far 6642
end of batch....2089, cost so far 6642
end of batch....2090, cost so far 6642
end of batch....2091, cost so far 6642
end of batch....2092, cost so far 6642
end of batch....2093, cost so far 6642
end of batch....2094, cost so far 6642
end of batch....2095, cost so far 6642
end of batch....2096, cost so far 6642
end of batch....2097, cost so far 6642
end of batch....2098, cost so far 6642
end of batch....2099, cost so far 6642
end of batch....2100, cost so far 6642
end of batch....2101, cost so far 6642
end of batch....2102, cost so far 6642
end of batch....2103, cost so far 6642
end of batch....2104, cost so far 6642
end of batch....2105, cost so far 6642
end of batch....2106, cost so far 6642
end of batch....2107, cost so far 6642
end of batch....2108, cost so far 6642
end of batch....2109, cost so far 6642
end of batch....2110, cost so far 6642
end of batch....2111, cost so far 6642
end of batch....2112, cost so far 6642
end of batch....2113, cost so far 6642
end of batch....2114, cost so far 6642
end of batch....2115, cost so far 6642
end of batch....2116, cost so far 6642
end of batch....2117, cost so far 6642
end of batch....2118, cost so far 6642
end of batch....2119, cost so far 6642
end of batch....2120, cost so far 6642
end of batch....2121, cost so far 6642
end of batch....2122, cost so far 6642
end of batch....2123, cost so far 6642
end of batch....2124, cost so far 6642
end of batch....2125, cost so far 6642
end of batch....2126, cost so far 6642
end of batch....2127, cost so far 6642
end of batch....2128, cost so far 6642
end of batch....2129, cost so far 6642
end of batch....2130, cost so far 6642
end of batch....2131, cost so far 6642
end of batch....2132, cost so far 6642
end of batch....2133, cost so far 6642
end of batch....2134, cost so far 6642
end of batch....2135, cost so far 6642
end of batch....2136, cost so far 6642
end of batch....2137, cost so far 6642
end of batch....2138, cost so far 6642
end of batch....2139, cost so far 6642
end of batch....2140, cost so far 6642
end of batch....2141, cost so far 6642
end of batch....2142, cost so far 6642
end of batch....2143, cost so far 6642
end of batch....2144, cost so far 6642
end of batch....2145, cost so far 6642
end of batch....2146, cost so far 6642
end of batch....2147, cost so far 6642
end of batch....2148, cost so far 6642
end of batch....2149, cost so far 6642
end of batch....2150, cost so far 6642
end of batch....2151, cost so far 6642
end of batch....2152, cost so far 6642
end of batch....2153, cost so far 6642
end of batch....2154, cost so far 6642
end of batch....2155, cost so far 6642
end of batch....2156, cost so far 6642
end of batch....2157, cost so far 6642
end of batch....2158, cost so far 6642
end of batch....2159, cost so far 6642
end of batch....2160, cost so far 6642
end of batch....2161, cost so far 6642
end of batch....2162, cost so far 6642
end of batch....2163, cost so far 6642
end of batch....2164, cost so far 6642
end of batch....2165, cost so far 6642
end of batch....2166, cost so far 6642
end of batch....2167, cost so far 6642
end of batch....2168, cost so far 6642
end of batch....2169, cost so far 6642
end of batch....2170, cost so far 6642
end of batch....2171, cost so far 6642
end of batch....2172, cost so far 6642
end of batch....2173, cost so far 6642
end of batch....2174, cost so far 6642
end of batch....2175, cost so far 6642
end of batch....2176, cost so far 6642
end of batch....2177, cost so far 6642
end of batch....2178, cost so far 6642
end of batch....2179, cost so far 6642
end of batch....2180, cost so far 6642
end of batch....2181, cost so far 6642
end of batch....2182, cost so far 6642
end of batch....2183, cost so far 6642
end of batch....2184, cost so far 6642
end of batch....2185, cost so far 6642
end of batch....2186, cost so far 6642
end of batch....2187, cost so far 6642
end of batch....2188, cost so far 6642
end of batch....2189, cost so far 6642
end of batch....2190, cost so far 6642
end of batch....2191, cost so far 6642
end of batch....2192, cost so far 6642
end of batch....2193, cost so far 6642
end of batch....2194, cost so far 6642
end of batch....2195, cost so far 6642
end of batch....2196, cost so far 6642
end of batch....2197, cost so far 6642
end of batch....2198, cost so far 6642
end of batch....2199, cost so far 6642
end of batch....2200, cost so far 6642
end of batch....2201, cost so far 6642
end of batch....2202, cost so far 6642
end of batch....2203, cost so far 6642
end of batch....2204, cost so far 6642
end of batch....2205, cost so far 6642
end of batch....2206, cost so far 6642
end of batch....2207, cost so far 6642
end of batch....2208, cost so far 6642
end of batch....2209, cost so far 6642
end of batch....2210, cost so far 6642
end of batch....2211, cost so far 6642
end of batch....2212, cost so far 6642
end of batch....2213, cost so far 6642
end of batch....2214, cost so far 6642
end of batch....2215, cost so far 6642
end of batch....2216, cost so far 6642
end of batch....2217, cost so far 6642
end of batch....2218, cost so far 6642
end of batch....2219, cost so far 6642
end of batch....2220, cost so far 6642
end of batch....2221, cost so far 6642
end of batch....2222, cost so far 6642
end of batch....2223, cost so far 6642
end of batch....2224, cost so far 6642
end of batch....2225, cost so far 6642
end of batch....2226, cost so far 6642
end of batch....2227, cost so far 6642
end of batch....2228, cost so far 6642
end of batch....2229, cost so far 6642
end of batch....2230, cost so far 6642
end of batch....2231, cost so far 6642
end of batch....2232, cost so far 6642
end of batch....2233, cost so far 6642
end of batch....2234, cost so far 6642
end of batch....2235, cost so far 6642
end of batch....2236, cost so far 6642
end of batch....2237, cost so far 6642
end of batch....2238, cost so far 6642
end of batch....2239, cost so far 6642
end of batch....2240, cost so far 6642
end of batch....2241, cost so far 6642
end of batch....2242, cost so far 6642
end of batch....2243, cost so far 6642
end of batch....2244, cost so far 6642
end of batch....2245, cost so far 6642
end of batch....2246, cost so far 6642
end of batch....2247, cost so far 6642
end of batch....2248, cost so far 6642
end of batch....2249, cost so far 6642
end of batch....2250, cost so far 6642
end of batch....2251, cost so far 6642
end of batch....2252, cost so far 6642
end of batch....2253, cost so far 6642
end of batch....2254, cost so far 6642
end of batch....2255, cost so far 6642
end of batch....2256, cost so far 6642
end of batch....2257, cost so far 6642
end of batch....2258, cost so far 6642
end of batch....2259, cost so far 6642
end of batch....2260, cost so far 6642
end of batch....2261, cost so far 6642
end of batch....2262, cost so far 6642
end of batch....2263, cost so far 6642
end of batch....2264, cost so far 6642
end of batch....2265, cost so far 6642
end of batch....2266, cost so far 6642
end of batch....2267, cost so far 6642
end of batch....2268, cost so far 6642
end of batch....2269, cost so far 6642
end of batch....2270, cost so far 6642
end of batch....2271, cost so far 6642
end of batch....2272, cost so far 6642
end of batch....2273, cost so far 6642
end of batch....2274, cost so far 6642
end of batch....2275, cost so far 6642
end of batch....2276, cost so far 6642
end of batch....2277, cost so far 6642
end of batch....2278, cost so far 6642
end of batch....2279, cost so far 6642
end of batch....2280, cost so far 6642
end of batch....2281, cost so far 6642
end of batch....2282, cost so far 6642
end of batch....2283, cost so far 6642
end of batch....2284, cost so far 6642
end of batch....2285, cost so far 6642
end of batch....2286, cost so far 6642
end of batch....2287, cost so far 6642
end of batch....2288, cost so far 6642
end of batch....2289, cost so far 6642
end of batch....2290, cost so far 6642
end of batch....2291, cost so far 6642
end of batch....2292, cost so far 6642
end of batch....2293, cost so far 6642
end of batch....2294, cost so far 6642
end of batch....2295, cost so far 6642
end of batch....2296, cost so far 6642
end of batch....2297, cost so far 6642
end of batch....2298, cost so far 6642
end of batch....2299, cost so far 6642
end of batch....2300, cost so far 6642
end of batch....2301, cost so far 6642
end of batch....2302, cost so far 6642
end of batch....2303, cost so far 6642
end of batch....2304, cost so far 6642
end of batch....2305, cost so far 6642
end of batch....2306, cost so far 6642
end of batch....2307, cost so far 6642
end of batch....2308, cost so far 6642
end of batch....2309, cost so far 6642
end of batch....2310, cost so far 6642
end of batch....2311, cost so far 6642
end of batch....2312, cost so far 6642
end of batch....2313, cost so far 6642
end of batch....2314, cost so far 6642
end of batch....2315, cost so far 6642
end of batch....2316, cost so far 6642
end of batch....2317, cost so far 6642
end of batch....2318, cost so far 6642
end of batch....2319, cost so far 6642
end of batch....2320, cost so far 6642
end of batch....2321, cost so far 6642
end of batch....2322, cost so far 6642
end of batch....2323, cost so far 6642
end of batch....2324, cost so far 6642
end of batch....2325, cost so far 6642
end of batch....2326, cost so far 6642
end of batch....2327, cost so far 6642
end of batch....2328, cost so far 6642
end of batch....2329, cost so far 6642
end of batch....2330, cost so far 6642
end of batch....2331, cost so far 6642
end of batch....2332, cost so far 6642
end of batch....2333, cost so far 6642
end of batch....2334, cost so far 6642
end of batch....2335, cost so far 6642
end of batch....2336, cost so far 6642
end of batch....2337, cost so far 6642
end of batch....2338, cost so far 6642
end of batch....2339, cost so far 6642
end of batch....2340, cost so far 6642
end of batch....2341, cost so far 6642
end of batch....2342, cost so far 6642
end of batch....2343, cost so far 6642
end of batch....2344, cost so far 6642
end of batch....2345, cost so far 6642
end of batch....2346, cost so far 6642
end of batch....2347, cost so far 6642
end of batch....2348, cost so far 6642
end of batch....2349, cost so far 6642
end of batch....2350, cost so far 6642
end of batch....2351, cost so far 6642
end of batch....2352, cost so far 6642
end of batch....2353, cost so far 6642
end of batch....2354, cost so far 6642
end of batch....2355, cost so far 6642
end of batch....2356, cost so far 6642
end of batch....2357, cost so far 6642
end of batch....2358, cost so far 6642
end of batch....2359, cost so far 6642
end of batch....2360, cost so far 6642
end of batch....2361, cost so far 6642
end of batch....2362, cost so far 6642
end of batch....2363, cost so far 6642
end of batch....2364, cost so far 6642
end of batch....2365, cost so far 6642
end of batch....2366, cost so far 6642
end of batch....2367, cost so far 6642
end of batch....2368, cost so far 6642
end of batch....2369, cost so far 6642
end of batch....2370, cost so far 6642
end of batch....2371, cost so far 6642
end of batch....2372, cost so far 6642
end of batch....2373, cost so far 6642
end of batch....2374, cost so far 6642
end of batch....2375, cost so far 6642
end of batch....2376, cost so far 6642
end of batch....2377, cost so far 6642
end of batch....2378, cost so far 6642
end of batch....2379, cost so far 6642
end of batch....2380, cost so far 6642
end of batch....2381, cost so far 6642
end of batch....2382, cost so far 6642
end of batch....2383, cost so far 6642
end of batch....2384, cost so far 6642
end of batch....2385, cost so far 6642
end of batch....2386, cost so far 6642
end of batch....2387, cost so far 6642
end of batch....2388, cost so far 6642
end of batch....2389, cost so far 6642
end of batch....2390, cost so far 6642
end of batch....2391, cost so far 6642
end of batch....2392, cost so far 6642
end of batch....2393, cost so far 6642
end of batch....2394, cost so far 6642
end of batch....2395, cost so far 6642
end of batch....2396, cost so far 6642
end of batch....2397, cost so far 6642
end of batch....2398, cost so far 6642
end of batch....2399, cost so far 6642
end of batch....2400, cost so far 6642
end of batch....2401, cost so far 6642
end of batch....2402, cost so far 6642
end of batch....2403, cost so far 6642
end of batch....2404, cost so far 6642
end of batch....2405, cost so far 6642
end of batch....2406, cost so far 6642
end of batch....2407, cost so far 6642
end of batch....2408, cost so far 6642
end of batch....2409, cost so far 6642
end of batch....2410, cost so far 6642
end of batch....2411, cost so far 6642
end of batch....2412, cost so far 6642
end of batch....2413, cost so far 6642
end of batch....2414, cost so far 6642
end of batch....2415, cost so far 6642
end of batch....2416, cost so far 6642
end of batch....2417, cost so far 6642
end of batch....2418, cost so far 6642
end of batch....2419, cost so far 6642
end of batch....2420, cost so far 6642
end of batch....2421, cost so far 6642
end of batch....2422, cost so far 6642
end of batch....2423, cost so far 6642
end of batch....2424, cost so far 6642
end of batch....2425, cost so far 6642
end of batch....2426, cost so far 6642
end of batch....2427, cost so far 6642
end of batch....2428, cost so far 6642
end of batch....2429, cost so far 6642
end of batch....2430, cost so far 6642
end of batch....2431, cost so far 6642
end of batch....2432, cost so far 6642
end of batch....2433, cost so far 6642
end of batch....2434, cost so far 6642
end of batch....2435, cost so far 6642
end of batch....2436, cost so far 6642
end of batch....2437, cost so far 6642
end of batch....2438, cost so far 6642
end of batch....2439, cost so far 6642
end of batch....2440, cost so far 6642
end of batch....2441, cost so far 6642
end of batch....2442, cost so far 6642
end of batch....2443, cost so far 6642
end of batch....2444, cost so far 6642
end of batch....2445, cost so far 6642
end of batch....2446, cost so far 6642
end of batch....2447, cost so far 6642
end of batch....2448, cost so far 6642
end of batch....2449, cost so far 6642
end of batch....2450, cost so far 6642
end of batch....2451, cost so far 6642
end of batch....2452, cost so far 6642
end of batch....2453, cost so far 6642
end of batch....2454, cost so far 6642
end of batch....2455, cost so far 6642
end of batch....2456, cost so far 6642
end of batch....2457, cost so far 6642
end of batch....2458, cost so far 6642
end of batch....2459, cost so far 6642
end of batch....2460, cost so far 6642
end of batch....2461, cost so far 6642
end of batch....2462, cost so far 6642
end of batch....2463, cost so far 6642
end of batch....2464, cost so far 6642
end of batch....2465, cost so far 6642
end of batch....2466, cost so far 6642
end of batch....2467, cost so far 6642
end of batch....2468, cost so far 6642
end of batch....2469, cost so far 6642
end of batch....2470, cost so far 6642
end of batch....2471, cost so far 6642
end of batch....2472, cost so far 6642
end of batch....2473, cost so far 6642
end of batch....2474, cost so far 6642
end of batch....2475, cost so far 6642
end of batch....2476, cost so far 6642
end of batch....2477, cost so far 6642
end of batch....2478, cost so far 6642
end of batch....2479, cost so far 6642
end of batch....2480, cost so far 6642
end of batch....2481, cost so far 6642
end of batch....2482, cost so far 6642
end of batch....2483, cost so far 6642
end of batch....2484, cost so far 6642
end of batch....2485, cost so far 6642
end of batch....2486, cost so far 6642
end of batch....2487, cost so far 6642
end of batch....2488, cost so far 6642
end of batch....2489, cost so far 6642
end of batch....2490, cost so far 6642
end of batch....2491, cost so far 6642
end of batch....2492, cost so far 6642
end of batch....2493, cost so far 6642
end of batch....2494, cost so far 6642
end of batch....2495, cost so far 6642
end of batch....2496, cost so far 6642
end of batch....2497, cost so far 6642
end of batch....2498, cost so far 6642
end of batch....2499, cost so far 6642
end of batch....2500, cost so far 6642
end of batch....2501, cost so far 6642
end of batch....2502, cost so far 6642
end of batch....2503, cost so far 6642
end of batch....2504, cost so far 6642
end of batch....2505, cost so far 6642
end of batch....2506, cost so far 6642
end of batch....2507, cost so far 6642
end of batch....2508, cost so far 6642
end of batch....2509, cost so far 6642
end of batch....2510, cost so far 6642
end of batch....2511, cost so far 6642
end of batch....2512, cost so far 6642
end of batch....2513, cost so far 6642
end of batch....2514, cost so far 6642
end of batch....2515, cost so far 6642
end of batch....2516, cost so far 6642
end of batch....2517, cost so far 6642
end of batch....2518, cost so far 6642
end of batch....2519, cost so far 6642
end of batch....2520, cost so far 6642
end of batch....2521, cost so far 6642
end of batch....2522, cost so far 6642
end of batch....2523, cost so far 6642
end of batch....2524, cost so far 6642
end of batch....2525, cost so far 6642
end of batch....2526, cost so far 6642
end of batch....2527, cost so far 6642
end of batch....2528, cost so far 6642
end of batch....2529, cost so far 6642
end of batch....2530, cost so far 6642
end of batch....2531, cost so far 6642
end of batch....2532, cost so far 6642
end of batch....2533, cost so far 6642
end of batch....2534, cost so far 6642
end of batch....2535, cost so far 6642
end of batch....2536, cost so far 6642
end of batch....2537, cost so far 6642
end of batch....2538, cost so far 6642
end of batch....2539, cost so far 6642
end of batch....2540, cost so far 6642
end of batch....2541, cost so far 6642
end of batch....2542, cost so far 6642
end of batch....2543, cost so far 6642
end of batch....2544, cost so far 6642
end of batch....2545, cost so far 6642
end of batch....2546, cost so far 6642
end of batch....2547, cost so far 6642
end of batch....2548, cost so far 6642
end of batch....2549, cost so far 6642
end of batch....2550, cost so far 6642
end of batch....2551, cost so far 6642
end of batch....2552, cost so far 6642
end of batch....2553, cost so far 6642
end of batch....2554, cost so far 6642
end of batch....2555, cost so far 6642
end of batch....2556, cost so far 6642
end of batch....2557, cost so far 6642
end of batch....2558, cost so far 6642
end of batch....2559, cost so far 6642
end of batch....2560, cost so far 6642
end of batch....2561, cost so far 6642
end of batch....2562, cost so far 6642
end of batch....2563, cost so far 6642
end of batch....2564, cost so far 6642
end of batch....2565, cost so far 6642
end of batch....2566, cost so far 6642
end of batch....2567, cost so far 6642
end of batch....2568, cost so far 6642
end of batch....2569, cost so far 6642
end of batch....2570, cost so far 6642
end of batch....2571, cost so far 6642
end of batch....2572, cost so far 6642
end of batch....2573, cost so far 6642
end of batch....2574, cost so far 6642
end of batch....2575, cost so far 6642
end of batch....2576, cost so far 6642
end of batch....2577, cost so far 6642
end of batch....2578, cost so far 6642
end of batch....2579, cost so far 6642
end of batch....2580, cost so far 6642
end of batch....2581, cost so far 6642
end of batch....2582, cost so far 6642
end of batch....2583, cost so far 6642
end of batch....2584, cost so far 6642
end of batch....2585, cost so far 6642
end of batch....2586, cost so far 6642
end of batch....2587, cost so far 6642
end of batch....2588, cost so far 6642
end of batch....2589, cost so far 6642
end of batch....2590, cost so far 6642
end of batch....2591, cost so far 6642
end of batch....2592, cost so far 6642
end of batch....2593, cost so far 6642
end of batch....2594, cost so far 6642
end of batch....2595, cost so far 6642
end of batch....2596, cost so far 6642
end of batch....2597, cost so far 6642
end of batch....2598, cost so far 6642
end of batch....2599, cost so far 6642
end of batch....2600, cost so far 6642
end of batch....2601, cost so far 6642
end of batch....2602, cost so far 6642
end of batch....2603, cost so far 6642
end of batch....2604, cost so far 6642
end of batch....2605, cost so far 6642
end of batch....2606, cost so far 6642
end of batch....2607, cost so far 6642
end of batch....2608, cost so far 6642
end of batch....2609, cost so far 6642
end of batch....2610, cost so far 6642
end of batch....2611, cost so far 6642
end of batch....2612, cost so far 6642
end of batch....2613, cost so far 6642
end of batch....2614, cost so far 6642
end of batch....2615, cost so far 6642
end of batch....2616, cost so far 6642
end of batch....2617, cost so far 6642
end of batch....2618, cost so far 6642
end of batch....2619, cost so far 6642
end of batch....2620, cost so far 6642
end of batch....2621, cost so far 6642
end of batch....2622, cost so far 6642
end of batch....2623, cost so far 6642
end of batch....2624, cost so far 6642
end of batch....2625, cost so far 6642
end of batch....2626, cost so far 6642
end of batch....2627, cost so far 6642
end of batch....2628, cost so far 6642
end of batch....2629, cost so far 6642
end of batch....2630, cost so far 6642
end of batch....2631, cost so far 6642
end of batch....2632, cost so far 6642
end of batch....2633, cost so far 6642
end of batch....2634, cost so far 6642
end of batch....2635, cost so far 6642
end of batch....2636, cost so far 6642
end of batch....2637, cost so far 6642
end of batch....2638, cost so far 6642
end of batch....2639, cost so far 6642
end of batch....2640, cost so far 6642
end of batch....2641, cost so far 6642
end of batch....2642, cost so far 6642
end of batch....2643, cost so far 6642
end of batch....2644, cost so far 6642
end of batch....2645, cost so far 6642
end of batch....2646, cost so far 6642
end of batch....2647, cost so far 6642
end of batch....2648, cost so far 6642
end of batch....2649, cost so far 6642
end of batch....2650, cost so far 6642
end of batch....2651, cost so far 6642
end of batch....2652, cost so far 6642
end of batch....2653, cost so far 6642
end of batch....2654, cost so far 6642
end of batch....2655, cost so far 6642
end of batch....2656, cost so far 6642
end of batch....2657, cost so far 6642
end of batch....2658, cost so far 6642
end of batch....2659, cost so far 6642
end of batch....2660, cost so far 6642
end of batch....2661, cost so far 6642
end of batch....2662, cost so far 6642
end of batch....2663, cost so far 6642
end of batch....2664, cost so far 6642
end of batch....2665, cost so far 6642
end of batch....2666, cost so far 6642
end of batch....2667, cost so far 6642
end of batch....2668, cost so far 6642
end of batch....2669, cost so far 6642
end of batch....2670, cost so far 6642
end of batch....2671, cost so far 6642
end of batch....2672, cost so far 6642
end of batch....2673, cost so far 6642
end of batch....2674, cost so far 6642
end of batch....2675, cost so far 6642
end of batch....2676, cost so far 6642
end of batch....2677, cost so far 6642
end of batch....2678, cost so far 6642
end of batch....2679, cost so far 6642
end of batch....2680, cost so far 6642
end of batch....2681, cost so far 6642
end of batch....2682, cost so far 6642
end of batch....2683, cost so far 6642
end of batch....2684, cost so far 6642
end of batch....2685, cost so far 6642
end of batch....2686, cost so far 6642
end of batch....2687, cost so far 6642
end of batch....2688, cost so far 6642
end of batch....2689, cost so far 6642
end of batch....2690, cost so far 6642
end of batch....2691, cost so far 6642
end of batch....2692, cost so far 6642
end of batch....2693, cost so far 6642
end of batch....2694, cost so far 6642
end of batch....2695, cost so far 6642
end of batch....2696, cost so far 6642
end of batch....2697, cost so far 6642
end of batch....2698, cost so far 6642
end of batch....2699, cost so far 6642
end of batch....2700, cost so far 6642
end of batch....2701, cost so far 6642
end of batch....2702, cost so far 6642
end of batch....2703, cost so far 6642
end of batch....2704, cost so far 6642
end of batch....2705, cost so far 6642
end of batch....2706, cost so far 6642
end of batch....2707, cost so far 6642
end of batch....2708, cost so far 6642
end of batch....2709, cost so far 6642
end of batch....2710, cost so far 6642
end of batch....2711, cost so far 6642
end of batch....2712, cost so far 6642
end of batch....2713, cost so far 6642
end of batch....2714, cost so far 6642
end of batch....2715, cost so far 6642
end of batch....2716, cost so far 6642
end of batch....2717, cost so far 6642
end of batch....2718, cost so far 6642
end of batch....2719, cost so far 6642
end of batch....2720, cost so far 6642
end of batch....2721, cost so far 6642
end of batch....2722, cost so far 6642
end of batch....2723, cost so far 6642
end of batch....2724, cost so far 6642
end of batch....2725, cost so far 6642
end of batch....2726, cost so far 6642
end of batch....2727, cost so far 6642
end of batch....2728, cost so far 6642
end of batch....2729, cost so far 6642
end of batch....2730, cost so far 6642
end of batch....2731, cost so far 6642
end of batch....2732, cost so far 6642
end of batch....2733, cost so far 6642
end of batch....2734, cost so far 6642
end of batch....2735, cost so far 6642
end of batch....2736, cost so far 6642
end of batch....2737, cost so far 6642
end of batch....2738, cost so far 6642
end of batch....2739, cost so far 6642
end of batch....2740, cost so far 6642
end of batch....2741, cost so far 6642
end of batch....2742, cost so far 6642
end of batch....2743, cost so far 6642
end of batch....2744, cost so far 6642
end of batch....2745, cost so far 6642
end of batch....2746, cost so far 6642
end of batch....2747, cost so far 6642
end of batch....2748, cost so far 6642
end of batch....2749, cost so far 6642
end of batch....2750, cost so far 6642
end of batch....2751, cost so far 6642
end of batch....2752, cost so far 6642
end of batch....2753, cost so far 6642
end of batch....2754, cost so far 6642
end of batch....2755, cost so far 6642
end of batch....2756, cost so far 6642
end of batch....2757, cost so far 6642
end of batch....2758, cost so far 6642
end of batch....2759, cost so far 6642
end of batch....2760, cost so far 6642
end of batch....2761, cost so far 6642
end of batch....2762, cost so far 6642
end of batch....2763, cost so far 6642
end of batch....2764, cost so far 6642
end of batch....2765, cost so far 6642
end of batch....2766, cost so far 6642
end of batch....2767, cost so far 6642
end of batch....2768, cost so far 6642
end of batch....2769, cost so far 6642
end of batch....2770, cost so far 6642
end of batch....2771, cost so far 6642
end of batch....2772, cost so far 6642
end of batch....2773, cost so far 6642
end of batch....2774, cost so far 6642
end of batch....2775, cost so far 6642
end of batch....2776, cost so far 6642
end of batch....2777, cost so far 6642
end of batch....2778, cost so far 6642
end of batch....2779, cost so far 6642
end of batch....2780, cost so far 6642
end of batch....2781, cost so far 6642
end of batch....2782, cost so far 6642
end of batch....2783, cost so far 6642
end of batch....2784, cost so far 6642
end of batch....2785, cost so far 6642
end of batch....2786, cost so far 6642
end of batch....2787, cost so far 6642
end of batch....2788, cost so far 6642
end of batch....2789, cost so far 6642
end of batch....2790, cost so far 6642
end of batch....2791, cost so far 6642
end of batch....2792, cost so far 6642
end of batch....2793, cost so far 6642
end of batch....2794, cost so far 6642
end of batch....2795, cost so far 6642
end of batch....2796, cost so far 6642
end of batch....2797, cost so far 6642
end of batch....2798, cost so far 6642
end of batch....2799, cost so far 6642
end of batch....2800, cost so far 6642
end of batch....2801, cost so far 6642
end of batch....2802, cost so far 6642
end of batch....2803, cost so far 6642
end of batch....2804, cost so far 6642
end of batch....2805, cost so far 6642
end of batch....2806, cost so far 6642
end of batch....2807, cost so far 6642
end of batch....2808, cost so far 6642
end of batch....2809, cost so far 6642
end of batch....2810, cost so far 6642
end of batch....2811, cost so far 6642
end of batch....2812, cost so far 6642
end of batch....2813, cost so far 6642
end of batch....2814, cost so far 6642
end of batch....2815, cost so far 6642
end of batch....2816, cost so far 6642
end of batch....2817, cost so far 6642
end of batch....2818, cost so far 6642
end of batch....2819, cost so far 6642
end of batch....2820, cost so far 6642
end of batch....2821, cost so far 6642
end of batch....2822, cost so far 6642
end of batch....2823, cost so far 6642
end of batch....2824, cost so far 6642
end of batch....2825, cost so far 6642
end of batch....2826, cost so far 6642
end of batch....2827, cost so far 6642
end of batch....2828, cost so far 6642
end of batch....2829, cost so far 6642
end of batch....2830, cost so far 6642
end of batch....2831, cost so far 6642
end of batch....2832, cost so far 6642
end of batch....2833, cost so far 6642
end of batch....2834, cost so far 6642
end of batch....2835, cost so far 6642
end of batch....2836, cost so far 6642
end of batch....2837, cost so far 6642
end of batch....2838, cost so far 6642
end of batch....2839, cost so far 6642
end of batch....2840, cost so far 6642
end of batch....2841, cost so far 6642
end of batch....2842, cost so far 6642
end of batch....2843, cost so far 6642
end of batch....2844, cost so far 6642
end of batch....2845, cost so far 6642
end of batch....2846, cost so far 6642
end of batch....2847, cost so far 6642
end of batch....2848, cost so far 6642
end of batch....2849, cost so far 6642
end of batch....2850, cost so far 6642
end of batch....2851, cost so far 6642
end of batch....2852, cost so far 6642
end of batch....2853, cost so far 6642
end of batch....2854, cost so far 6642
end of batch....2855, cost so far 6642
end of batch....2856, cost so far 6642
end of batch....2857, cost so far 6642
end of batch....2858, cost so far 6642
end of batch....2859, cost so far 6642
end of batch....2860, cost so far 6642
end of batch....2861, cost so far 6642
end of batch....2862, cost so far 6642
end of batch....2863, cost so far 6642
end of batch....2864, cost so far 6642
end of batch....2865, cost so far 6642
end of batch....2866, cost so far 6642
end of batch....2867, cost so far 6642
end of batch....2868, cost so far 6642
end of batch....2869, cost so far 6642
end of batch....2870, cost so far 6642
end of batch....2871, cost so far 6642
end of batch....2872, cost so far 6642
end of batch....2873, cost so far 6642
end of batch....2874, cost so far 6642
end of batch....2875, cost so far 6642
end of batch....2876, cost so far 6642
end of batch....2877, cost so far 6642
end of batch....2878, cost so far 6642
end of batch....2879, cost so far 6642
end of batch....2880, cost so far 6642
end of batch....2881, cost so far 6642
end of batch....2882, cost so far 6642
end of batch....2883, cost so far 6642
end of batch....2884, cost so far 6642
end of batch....2885, cost so far 6642
end of batch....2886, cost so far 6642
end of batch....2887, cost so far 6642
end of batch....2888, cost so far 6642
end of batch....2889, cost so far 6642
end of batch....2890, cost so far 6642
end of batch....2891, cost so far 6642
end of batch....2892, cost so far 6642
end of batch....2893, cost so far 6642
end of batch....2894, cost so far 6642
end of batch....2895, cost so far 6642
end of batch....2896, cost so far 6642
end of batch....2897, cost so far 6642
end of batch....2898, cost so far 6642
end of batch....2899, cost so far 6642
end of batch....2900, cost so far 6642
end of batch....2901, cost so far 6642
end of batch....2902, cost so far 6642
end of batch....2903, cost so far 6642
end of batch....2904, cost so far 6642
end of batch....2905, cost so far 6642
end of batch....2906, cost so far 6642
end of batch....2907, cost so far 6642
end of batch....2908, cost so far 6642
end of batch....2909, cost so far 6642
end of batch....2910, cost so far 6642
end of batch....2911, cost so far 6642
end of batch....2912, cost so far 6642
end of batch....2913, cost so far 6642
end of batch....2914, cost so far 6642
end of batch....2915, cost so far 6642
end of batch....2916, cost so far 6642
end of batch....2917, cost so far 6642
end of batch....2918, cost so far 6642
end of batch....2919, cost so far 6642
end of batch....2920, cost so far 6642
end of batch....2921, cost so far 6642
end of batch....2922, cost so far 6642
end of batch....2923, cost so far 6642
end of batch....2924, cost so far 6642
end of batch....2925, cost so far 6642
end of batch....2926, cost so far 6642
end of batch....2927, cost so far 6642
end of batch....2928, cost so far 6642
end of batch....2929, cost so far 6642
