end of batch....0, cost so far 13908
end of batch....12788, cost so far 12967
end of batch....12789, cost so far 12967
end of batch....12790, cost so far 12967
end of batch....12791, cost so far 12967
end of batch....12792, cost so far 12967
end of batch....12793, cost so far 12967
end of batch....12794, cost so far 12967
end of batch....12795, cost so far 12967
end of batch....12796, cost so far 12967
end of batch....12797, cost so far 12967
end of batch....12798, cost so far 12967
end of batch....12799, cost so far 12967
end of batch....12800, cost so far 12967
end of batch....12801, cost so far 12967
end of batch....12802, cost so far 12967
end of batch....12803, cost so far 12967
end of batch....12804, cost so far 12967
end of batch....12805, cost so far 12967
end of batch....12806, cost so far 12967
end of batch....12807, cost so far 12967
end of batch....12808, cost so far 12967
end of batch....12809, cost so far 12967
end of batch....12810, cost so far 12967
end of batch....12811, cost so far 12967
end of batch....12812, cost so far 12967
end of batch....12813, cost so far 12967
end of batch....12814, cost so far 12967
end of batch....12815, cost so far 12967
end of batch....12816, cost so far 12967
end of batch....12817, cost so far 12967
end of batch....12818, cost so far 12967
end of batch....12819, cost so far 12967
end of batch....12820, cost so far 12967
end of batch....12821, cost so far 12967
end of batch....12822, cost so far 12967
end of batch....12823, cost so far 12967
end of batch....12824, cost so far 12967
end of batch....12825, cost so far 12967
end of batch....12826, cost so far 12967
end of batch....12827, cost so far 12967
end of batch....12828, cost so far 12967
end of batch....12829, cost so far 12967
end of batch....12830, cost so far 12967
end of batch....12831, cost so far 12967
end of batch....12832, cost so far 12967
end of batch....12833, cost so far 12967
end of batch....12834, cost so far 12967
end of batch....12835, cost so far 12967
end of batch....12836, cost so far 12967
end of batch....12837, cost so far 12967
end of batch....12838, cost so far 12967
end of batch....12839, cost so far 12967
end of batch....12840, cost so far 12967
end of batch....12841, cost so far 12967
end of batch....12842, cost so far 12967
end of batch....12843, cost so far 12967
end of batch....12844, cost so far 12967
end of batch....12845, cost so far 12967
end of batch....12846, cost so far 12967
end of batch....12847, cost so far 12967
end of batch....12848, cost so far 12967
end of batch....12849, cost so far 12967
end of batch....12850, cost so far 12967
end of batch....12851, cost so far 12967
end of batch....12852, cost so far 12967
end of batch....12853, cost so far 12967
end of batch....12854, cost so far 12967
end of batch....12855, cost so far 12967
end of batch....12856, cost so far 12967
end of batch....12857, cost so far 12967
end of batch....12858, cost so far 12967
end of batch....12859, cost so far 12967
end of batch....12860, cost so far 12967
end of batch....12861, cost so far 12967
end of batch....12862, cost so far 12967
end of batch....12863, cost so far 12967
end of batch....12864, cost so far 12967
end of batch....12865, cost so far 12967
end of batch....12866, cost so far 12967
end of batch....12867, cost so far 12967
end of batch....12868, cost so far 12967
end of batch....12869, cost so far 12967
end of batch....12870, cost so far 12967
end of batch....12871, cost so far 12967
end of batch....12872, cost so far 12967
end of batch....12873, cost so far 12967
end of batch....12874, cost so far 12967
end of batch....12875, cost so far 12967
end of batch....12876, cost so far 12967
end of batch....12877, cost so far 12967
end of batch....12878, cost so far 12967
end of batch....12879, cost so far 12967
end of batch....12880, cost so far 12967
end of batch....12881, cost so far 12967
end of batch....12882, cost so far 12967
end of batch....12883, cost so far 12967
end of batch....12884, cost so far 12967
end of batch....12885, cost so far 12967
end of batch....12886, cost so far 12967
end of batch....12887, cost so far 12967
end of batch....12888, cost so far 12967
end of batch....12889, cost so far 12967
end of batch....12890, cost so far 12967
end of batch....12891, cost so far 12967
end of batch....12892, cost so far 12967
end of batch....12893, cost so far 12967
end of batch....12894, cost so far 12967
end of batch....12895, cost so far 12967
end of batch....12896, cost so far 12967
end of batch....12897, cost so far 12967
end of batch....12898, cost so far 12967
end of batch....12899, cost so far 12967
end of batch....12900, cost so far 12967
end of batch....12901, cost so far 12967
end of batch....12902, cost so far 12967
end of batch....12903, cost so far 12967
end of batch....12904, cost so far 12967
end of batch....12905, cost so far 12967
end of batch....12906, cost so far 12967
end of batch....12907, cost so far 12967
end of batch....12908, cost so far 12967
end of batch....12909, cost so far 12967
end of batch....12910, cost so far 12967
end of batch....12911, cost so far 12967
end of batch....12912, cost so far 12967
end of batch....12913, cost so far 12967
end of batch....12914, cost so far 12967
end of batch....12915, cost so far 12967
end of batch....12916, cost so far 12967
end of batch....12917, cost so far 12967
end of batch....12918, cost so far 12967
end of batch....12919, cost so far 12967
end of batch....12920, cost so far 12967
end of batch....12921, cost so far 12967
end of batch....12922, cost so far 12967
end of batch....12923, cost so far 12967
end of batch....12924, cost so far 12967
end of batch....12925, cost so far 12967
end of batch....12926, cost so far 12967
end of batch....12927, cost so far 12967
end of batch....12928, cost so far 12967
end of batch....12929, cost so far 12967
end of batch....12930, cost so far 12967
end of batch....12931, cost so far 12967
end of batch....12932, cost so far 12967
end of batch....12933, cost so far 12967
end of batch....12934, cost so far 12967
end of batch....12935, cost so far 12967
end of batch....12936, cost so far 12967
end of batch....12937, cost so far 12967
end of batch....12938, cost so far 12967
end of batch....12939, cost so far 12967
end of batch....12940, cost so far 12967
end of batch....12941, cost so far 12967
end of batch....12942, cost so far 12967
end of batch....12943, cost so far 12967
end of batch....12944, cost so far 12967
end of batch....12945, cost so far 12967
end of batch....12946, cost so far 12967
end of batch....12947, cost so far 12967
end of batch....12948, cost so far 12967
end of batch....12949, cost so far 12967
end of batch....12950, cost so far 12967
end of batch....12951, cost so far 12967
end of batch....12952, cost so far 12967
end of batch....12953, cost so far 12967
end of batch....12954, cost so far 12967
end of batch....12955, cost so far 12967
end of batch....12956, cost so far 12967
end of batch....12957, cost so far 12967
end of batch....12958, cost so far 12967
end of batch....12959, cost so far 12967
end of batch....12960, cost so far 12967
end of batch....12961, cost so far 12967
end of batch....12962, cost so far 12967
end of batch....12963, cost so far 12967
end of batch....12964, cost so far 12967
end of batch....12965, cost so far 12967
end of batch....12966, cost so far 12967
end of batch....12967, cost so far 12967
end of batch....12968, cost so far 12967
end of batch....12969, cost so far 12967
end of batch....12970, cost so far 12967
end of batch....12971, cost so far 12967
end of batch....12972, cost so far 12967
end of batch....12973, cost so far 12967
end of batch....12974, cost so far 12967
end of batch....12975, cost so far 12967
end of batch....12976, cost so far 12967
end of batch....12977, cost so far 12967
end of batch....12978, cost so far 12967
end of batch....12979, cost so far 12967
end of batch....12980, cost so far 12967
end of batch....12981, cost so far 12967
end of batch....12982, cost so far 12967
end of batch....12983, cost so far 12967
end of batch....12984, cost so far 12967
end of batch....12985, cost so far 12967
end of batch....12986, cost so far 12967
end of batch....12987, cost so far 12967
end of batch....12988, cost so far 12967
end of batch....12989, cost so far 12967
end of batch....12990, cost so far 12967
end of batch....12991, cost so far 12967
end of batch....12992, cost so far 12967
end of batch....12993, cost so far 12967
end of batch....12994, cost so far 12967
end of batch....12995, cost so far 12967
end of batch....12996, cost so far 12967
end of batch....12997, cost so far 12967
end of batch....12998, cost so far 12967
end of batch....12999, cost so far 12967
end of batch....13000, cost so far 12967
end of batch....13001, cost so far 12967
end of batch....13002, cost so far 12967
end of batch....13003, cost so far 12967
end of batch....13004, cost so far 12967
end of batch....13005, cost so far 12967
end of batch....13006, cost so far 12967
end of batch....13007, cost so far 12967
end of batch....13008, cost so far 12967
end of batch....13009, cost so far 12967
end of batch....13010, cost so far 12967
end of batch....13011, cost so far 12967
end of batch....13012, cost so far 12967
end of batch....13013, cost so far 12967
end of batch....13014, cost so far 12967
end of batch....13015, cost so far 12967
end of batch....13016, cost so far 12967
end of batch....13017, cost so far 12967
end of batch....13018, cost so far 12967
end of batch....13019, cost so far 12967
end of batch....13020, cost so far 12967
end of batch....13021, cost so far 12967
end of batch....13022, cost so far 12967
end of batch....13023, cost so far 12967
end of batch....13024, cost so far 12967
end of batch....13025, cost so far 12967
end of batch....13026, cost so far 12967
end of batch....13027, cost so far 12967
end of batch....13028, cost so far 12967
end of batch....13029, cost so far 12967
end of batch....13030, cost so far 12967
end of batch....13031, cost so far 12967
end of batch....13032, cost so far 12967
end of batch....13033, cost so far 12967
end of batch....13034, cost so far 12967
end of batch....13035, cost so far 12967
end of batch....13036, cost so far 12967
end of batch....13037, cost so far 12967
end of batch....13038, cost so far 12967
end of batch....13039, cost so far 12967
end of batch....13040, cost so far 12967
end of batch....13041, cost so far 12967
end of batch....13042, cost so far 12967
end of batch....13043, cost so far 12967
end of batch....13044, cost so far 12967
end of batch....13045, cost so far 12967
end of batch....13046, cost so far 12967
end of batch....13047, cost so far 12967
end of batch....13048, cost so far 12967
end of batch....13049, cost so far 12967
end of batch....13050, cost so far 12967
end of batch....13051, cost so far 12967
end of batch....13052, cost so far 12967
end of batch....13053, cost so far 12967
end of batch....13054, cost so far 12967
end of batch....13055, cost so far 12967
end of batch....13056, cost so far 12967
end of batch....13057, cost so far 12967
end of batch....13058, cost so far 12967
end of batch....13059, cost so far 12967
end of batch....13060, cost so far 12967
end of batch....13061, cost so far 12967
end of batch....13062, cost so far 12967
end of batch....13063, cost so far 12967
end of batch....13064, cost so far 12967
end of batch....13065, cost so far 12967
end of batch....13066, cost so far 12967
end of batch....13067, cost so far 12967
end of batch....13068, cost so far 12967
end of batch....13069, cost so far 12967
end of batch....13070, cost so far 12967
end of batch....13071, cost so far 12967
end of batch....13072, cost so far 12967
end of batch....13073, cost so far 12967
end of batch....13074, cost so far 12967
end of batch....13075, cost so far 12967
end of batch....13076, cost so far 12967
end of batch....13077, cost so far 12967
end of batch....13078, cost so far 12967
end of batch....13079, cost so far 12967
end of batch....13080, cost so far 12967
end of batch....13081, cost so far 12967
end of batch....13082, cost so far 12967
end of batch....13083, cost so far 12967
end of batch....13084, cost so far 12967
end of batch....13085, cost so far 12967
end of batch....13086, cost so far 12967
end of batch....13087, cost so far 12967
end of batch....13088, cost so far 12967
end of batch....13089, cost so far 12967
end of batch....13090, cost so far 12967
end of batch....13091, cost so far 12967
end of batch....13092, cost so far 12967
end of batch....13093, cost so far 12967
end of batch....13094, cost so far 12967
end of batch....13095, cost so far 12967
end of batch....13096, cost so far 12967
end of batch....13097, cost so far 12967
end of batch....13098, cost so far 12967
end of batch....13099, cost so far 12967
end of batch....13100, cost so far 12967
end of batch....13101, cost so far 12967
end of batch....13102, cost so far 12967
end of batch....13103, cost so far 12967
end of batch....13104, cost so far 12967
end of batch....13105, cost so far 12967
end of batch....13106, cost so far 12967
end of batch....13107, cost so far 12967
end of batch....13108, cost so far 12967
end of batch....13109, cost so far 12967
end of batch....13110, cost so far 12967
end of batch....13111, cost so far 12967
end of batch....13112, cost so far 12967
end of batch....13113, cost so far 12967
end of batch....13114, cost so far 12967
end of batch....13115, cost so far 12967
end of batch....13116, cost so far 12967
end of batch....13117, cost so far 12967
end of batch....13118, cost so far 12967
end of batch....13119, cost so far 12967
end of batch....13120, cost so far 12967
end of batch....13121, cost so far 12967
end of batch....13122, cost so far 12967
end of batch....13123, cost so far 12967
end of batch....13124, cost so far 12967
end of batch....13125, cost so far 12967
end of batch....13126, cost so far 12967
end of batch....13127, cost so far 12967
end of batch....13128, cost so far 12967
end of batch....13129, cost so far 12967
end of batch....13130, cost so far 12967
end of batch....13131, cost so far 12967
end of batch....13132, cost so far 12967
end of batch....13133, cost so far 12967
end of batch....13134, cost so far 12967
end of batch....13135, cost so far 12967
end of batch....13136, cost so far 12967
end of batch....13137, cost so far 12967
end of batch....13138, cost so far 12967
end of batch....13139, cost so far 12967
end of batch....13140, cost so far 12967
end of batch....13141, cost so far 12967
end of batch....13142, cost so far 12967
end of batch....13143, cost so far 12967
end of batch....13144, cost so far 12967
end of batch....13145, cost so far 12967
end of batch....13146, cost so far 12967
end of batch....13147, cost so far 12967
end of batch....13148, cost so far 12967
end of batch....13149, cost so far 12967
end of batch....13150, cost so far 12967
end of batch....13151, cost so far 12967
end of batch....13152, cost so far 12967
end of batch....13153, cost so far 12967
end of batch....13154, cost so far 12967
end of batch....13155, cost so far 12967
end of batch....13156, cost so far 12967
end of batch....13157, cost so far 12967
end of batch....13158, cost so far 12967
end of batch....13159, cost so far 12967
end of batch....13160, cost so far 12967
end of batch....13161, cost so far 12967
end of batch....13162, cost so far 12967
end of batch....13163, cost so far 12967
end of batch....13164, cost so far 12967
end of batch....13165, cost so far 12967
end of batch....13166, cost so far 12967
end of batch....13167, cost so far 12967
end of batch....13168, cost so far 12967
end of batch....13169, cost so far 12967
end of batch....13170, cost so far 12967
end of batch....13171, cost so far 12967
end of batch....13172, cost so far 12967
end of batch....13173, cost so far 12967
end of batch....13174, cost so far 12967
end of batch....13175, cost so far 12967
end of batch....13176, cost so far 12967
end of batch....13177, cost so far 12967
end of batch....13178, cost so far 12967
end of batch....13179, cost so far 12967
end of batch....13180, cost so far 12967
end of batch....13181, cost so far 12967
end of batch....13182, cost so far 12967
end of batch....13183, cost so far 12967
end of batch....13184, cost so far 12967
end of batch....13185, cost so far 12967
end of batch....13186, cost so far 12967
end of batch....13187, cost so far 12967
end of batch....13188, cost so far 12967
end of batch....13189, cost so far 12967
end of batch....13190, cost so far 12967
end of batch....13191, cost so far 12967
end of batch....13192, cost so far 12967
end of batch....13193, cost so far 12967
end of batch....13194, cost so far 12967
end of batch....13195, cost so far 12967
end of batch....13196, cost so far 12967
end of batch....13197, cost so far 12967
end of batch....13198, cost so far 12967
end of batch....13199, cost so far 12967
end of batch....13200, cost so far 12967
end of batch....13201, cost so far 12967
end of batch....13202, cost so far 12967
end of batch....13203, cost so far 12967
end of batch....13204, cost so far 12967
end of batch....13205, cost so far 12967
end of batch....13206, cost so far 12967
end of batch....13207, cost so far 12967
end of batch....13208, cost so far 12967
end of batch....13209, cost so far 12967
end of batch....13210, cost so far 12967
end of batch....13211, cost so far 12967
end of batch....13212, cost so far 12967
end of batch....13213, cost so far 12967
end of batch....13214, cost so far 12967
end of batch....13215, cost so far 12967
end of batch....13216, cost so far 12967
end of batch....13217, cost so far 12967
end of batch....13218, cost so far 12967
end of batch....13219, cost so far 12967
end of batch....13220, cost so far 12967
end of batch....13221, cost so far 12967
end of batch....13222, cost so far 12967
end of batch....13223, cost so far 12967
end of batch....13224, cost so far 12967
end of batch....13225, cost so far 12967
end of batch....13226, cost so far 12967
end of batch....13227, cost so far 12967
end of batch....13228, cost so far 12967
end of batch....13229, cost so far 12967
end of batch....13230, cost so far 12967
end of batch....13231, cost so far 12967
end of batch....13232, cost so far 12967
end of batch....13233, cost so far 12967
end of batch....13234, cost so far 12967
end of batch....13235, cost so far 12967
end of batch....13236, cost so far 12967
end of batch....13237, cost so far 12967
end of batch....13238, cost so far 12967
end of batch....13239, cost so far 12967
end of batch....13240, cost so far 12967
end of batch....13241, cost so far 12967
end of batch....13242, cost so far 12967
end of batch....13243, cost so far 12967
end of batch....13244, cost so far 12967
end of batch....13245, cost so far 12967
end of batch....13246, cost so far 12967
end of batch....13247, cost so far 12967
end of batch....13248, cost so far 12967
end of batch....13249, cost so far 12967
end of batch....13250, cost so far 12967
end of batch....13251, cost so far 12967
end of batch....13252, cost so far 12967
end of batch....13253, cost so far 12967
end of batch....13254, cost so far 12967
end of batch....13255, cost so far 12967
end of batch....13256, cost so far 12967
end of batch....13257, cost so far 12967
end of batch....13258, cost so far 12967
end of batch....13259, cost so far 12967
end of batch....13260, cost so far 12967
end of batch....13261, cost so far 12967
end of batch....13262, cost so far 12967
end of batch....13263, cost so far 12967
end of batch....13264, cost so far 12967
end of batch....13265, cost so far 12967
end of batch....13266, cost so far 12967
end of batch....13267, cost so far 12967
end of batch....13268, cost so far 12967
end of batch....13269, cost so far 12967
end of batch....13270, cost so far 12967
end of batch....13271, cost so far 12967
end of batch....13272, cost so far 12967
end of batch....13273, cost so far 12967
end of batch....13274, cost so far 12967
end of batch....13275, cost so far 12967
end of batch....13276, cost so far 12967
end of batch....13277, cost so far 12967
end of batch....13278, cost so far 12967
end of batch....13279, cost so far 12967
end of batch....13280, cost so far 12967
end of batch....13281, cost so far 12967
end of batch....13282, cost so far 12967
end of batch....13283, cost so far 12967
end of batch....13284, cost so far 12967
end of batch....13285, cost so far 12967
end of batch....13286, cost so far 12967
end of batch....13287, cost so far 12967
end of batch....13288, cost so far 12967
end of batch....13289, cost so far 12967
end of batch....13290, cost so far 12967
end of batch....13291, cost so far 12967
end of batch....13292, cost so far 12967
end of batch....13293, cost so far 12967
end of batch....13294, cost so far 12967
end of batch....13295, cost so far 12967
end of batch....13296, cost so far 12967
end of batch....13297, cost so far 12967
end of batch....13298, cost so far 12967
end of batch....13299, cost so far 12967
end of batch....13300, cost so far 12967
end of batch....13301, cost so far 12967
end of batch....13302, cost so far 12967
end of batch....13303, cost so far 12967
end of batch....13304, cost so far 12967
end of batch....13305, cost so far 12967
end of batch....13306, cost so far 12967
end of batch....13307, cost so far 12967
end of batch....13308, cost so far 12967
end of batch....13309, cost so far 12967
end of batch....13310, cost so far 12967
end of batch....13311, cost so far 12967
end of batch....13312, cost so far 12967
end of batch....13313, cost so far 12967
end of batch....13314, cost so far 12967
end of batch....13315, cost so far 12967
end of batch....13316, cost so far 12967
end of batch....13317, cost so far 12967
end of batch....13318, cost so far 12967
end of batch....13319, cost so far 12967
end of batch....13320, cost so far 12967
end of batch....13321, cost so far 12967
end of batch....13322, cost so far 12967
end of batch....13323, cost so far 12967
end of batch....13324, cost so far 12967
end of batch....13325, cost so far 12967
end of batch....13326, cost so far 12967
end of batch....13327, cost so far 12967
end of batch....13328, cost so far 12967
end of batch....13329, cost so far 12967
end of batch....13330, cost so far 12967
end of batch....13331, cost so far 12967
end of batch....13332, cost so far 12967
end of batch....13333, cost so far 12967
end of batch....13334, cost so far 12967
end of batch....13335, cost so far 12967
end of batch....13336, cost so far 12967
end of batch....13337, cost so far 12967
end of batch....13338, cost so far 12967
end of batch....13339, cost so far 12967
end of batch....13340, cost so far 12967
end of batch....13341, cost so far 12967
end of batch....13342, cost so far 12967
end of batch....13343, cost so far 12967
end of batch....13344, cost so far 12967
end of batch....13345, cost so far 12967
end of batch....13346, cost so far 12967
end of batch....13347, cost so far 12967
end of batch....13348, cost so far 12967
end of batch....13349, cost so far 12967
end of batch....13350, cost so far 12967
end of batch....13351, cost so far 12967
end of batch....13352, cost so far 12967
end of batch....13353, cost so far 12967
end of batch....13354, cost so far 12967
end of batch....13355, cost so far 12967
end of batch....13356, cost so far 12967
end of batch....13357, cost so far 12967
end of batch....13358, cost so far 12967
end of batch....13359, cost so far 12967
end of batch....13360, cost so far 12967
end of batch....13361, cost so far 12967
end of batch....13362, cost so far 12967
end of batch....13363, cost so far 12967
end of batch....13364, cost so far 12967
end of batch....13365, cost so far 12967
end of batch....13366, cost so far 12967
end of batch....13367, cost so far 12967
end of batch....13368, cost so far 12967
end of batch....13369, cost so far 12967
end of batch....13370, cost so far 12967
end of batch....13371, cost so far 12967
end of batch....13372, cost so far 12967
end of batch....13373, cost so far 12967
end of batch....13374, cost so far 12967
end of batch....13375, cost so far 12967
end of batch....13376, cost so far 12967
end of batch....13377, cost so far 12967
end of batch....13378, cost so far 12967
end of batch....13379, cost so far 12967
end of batch....13380, cost so far 12967
end of batch....13381, cost so far 12967
end of batch....13382, cost so far 12967
end of batch....13383, cost so far 12967
end of batch....13384, cost so far 12967
end of batch....13385, cost so far 12967
end of batch....13386, cost so far 12967
end of batch....13387, cost so far 12967
end of batch....13388, cost so far 12967
end of batch....13389, cost so far 12967
end of batch....13390, cost so far 12967
end of batch....13391, cost so far 12967
end of batch....13392, cost so far 12967
end of batch....13393, cost so far 12967
end of batch....13394, cost so far 12967
end of batch....13395, cost so far 12967
end of batch....13396, cost so far 12967
end of batch....13397, cost so far 12967
end of batch....13398, cost so far 12967
end of batch....13399, cost so far 12967
end of batch....13400, cost so far 12967
end of batch....13401, cost so far 12967
end of batch....13402, cost so far 12967
end of batch....13403, cost so far 12967
end of batch....13404, cost so far 12967
end of batch....13405, cost so far 12967
end of batch....13406, cost so far 12967
end of batch....13407, cost so far 12967
end of batch....13408, cost so far 12967
end of batch....13409, cost so far 12967
end of batch....13410, cost so far 12967
end of batch....13411, cost so far 12967
end of batch....13412, cost so far 12967
end of batch....13413, cost so far 12967
end of batch....13414, cost so far 12967
end of batch....13415, cost so far 12967
end of batch....13416, cost so far 12967
end of batch....13417, cost so far 12967
end of batch....13418, cost so far 12967
end of batch....13419, cost so far 12967
end of batch....13420, cost so far 12967
end of batch....13421, cost so far 12967
end of batch....13422, cost so far 12967
end of batch....13423, cost so far 12967
end of batch....13424, cost so far 12967
end of batch....13425, cost so far 12967
end of batch....13426, cost so far 12967
end of batch....13427, cost so far 12967
end of batch....13428, cost so far 12967
end of batch....13429, cost so far 12967
end of batch....13430, cost so far 12967
end of batch....13431, cost so far 12967
end of batch....13432, cost so far 12967
end of batch....13433, cost so far 12967
end of batch....13434, cost so far 12967
end of batch....13435, cost so far 12967
end of batch....13436, cost so far 12967
end of batch....13437, cost so far 12967
end of batch....13438, cost so far 12967
end of batch....13439, cost so far 12967
end of batch....13440, cost so far 12967
end of batch....13441, cost so far 12967
end of batch....13442, cost so far 12967
end of batch....13443, cost so far 12967
end of batch....13444, cost so far 12967
end of batch....13445, cost so far 12967
end of batch....13446, cost so far 12967
end of batch....13447, cost so far 12967
end of batch....13448, cost so far 12967
end of batch....13449, cost so far 12967
end of batch....13450, cost so far 12967
end of batch....13451, cost so far 12967
end of batch....13452, cost so far 12967
end of batch....13453, cost so far 12967
end of batch....13454, cost so far 12967
end of batch....13455, cost so far 12967
end of batch....13456, cost so far 12967
end of batch....13457, cost so far 12967
end of batch....13458, cost so far 12967
end of batch....13459, cost so far 12967
end of batch....13460, cost so far 12967
end of batch....13461, cost so far 12967
end of batch....13462, cost so far 12967
end of batch....13463, cost so far 12967
end of batch....13464, cost so far 12967
end of batch....13465, cost so far 12967
end of batch....13466, cost so far 12967
end of batch....13467, cost so far 12967
end of batch....13468, cost so far 12967
end of batch....13469, cost so far 12967
end of batch....13470, cost so far 12967
end of batch....13471, cost so far 12967
end of batch....13472, cost so far 12967
end of batch....13473, cost so far 12967
end of batch....13474, cost so far 12967
end of batch....13475, cost so far 12967
end of batch....13476, cost so far 12967
end of batch....13477, cost so far 12967
end of batch....13478, cost so far 12967
end of batch....13479, cost so far 12967
end of batch....13480, cost so far 12967
end of batch....13481, cost so far 12967
end of batch....13482, cost so far 12967
end of batch....13483, cost so far 12967
end of batch....13484, cost so far 12967
end of batch....13485, cost so far 12967
end of batch....13486, cost so far 12967
end of batch....13487, cost so far 12967
end of batch....13488, cost so far 12967
end of batch....13489, cost so far 12967
end of batch....13490, cost so far 12967
end of batch....13491, cost so far 12967
end of batch....13492, cost so far 12967
end of batch....13493, cost so far 12967
end of batch....13494, cost so far 12967
end of batch....13495, cost so far 12967
end of batch....13496, cost so far 12967
end of batch....13497, cost so far 12967
end of batch....13498, cost so far 12967
end of batch....13499, cost so far 12967
end of batch....13500, cost so far 12967
end of batch....13501, cost so far 12967
end of batch....13502, cost so far 12967
end of batch....13503, cost so far 12967
end of batch....13504, cost so far 12967
end of batch....13505, cost so far 12967
end of batch....13506, cost so far 12967
end of batch....13507, cost so far 12967
end of batch....13508, cost so far 12967
end of batch....13509, cost so far 12967
end of batch....13510, cost so far 12967
end of batch....13511, cost so far 12967
end of batch....13512, cost so far 12967
end of batch....13513, cost so far 12967
end of batch....13514, cost so far 12967
end of batch....13515, cost so far 12967
end of batch....13516, cost so far 12967
end of batch....13517, cost so far 12967
end of batch....13518, cost so far 12967
end of batch....13519, cost so far 12967
end of batch....13520, cost so far 12967
end of batch....13521, cost so far 12967
end of batch....13522, cost so far 12967
end of batch....13523, cost so far 12967
end of batch....13524, cost so far 12967
end of batch....13525, cost so far 12967
end of batch....13526, cost so far 12967
end of batch....13527, cost so far 12967
end of batch....13528, cost so far 12967
end of batch....13529, cost so far 12967
end of batch....13530, cost so far 12967
end of batch....13531, cost so far 12967
end of batch....13532, cost so far 12967
end of batch....13533, cost so far 12967
end of batch....13534, cost so far 12967
end of batch....13535, cost so far 12967
end of batch....13536, cost so far 12967
end of batch....13537, cost so far 12967
end of batch....13538, cost so far 12967
end of batch....13539, cost so far 12967
end of batch....13540, cost so far 12967
end of batch....13541, cost so far 12967
end of batch....13542, cost so far 12967
end of batch....13543, cost so far 12967
end of batch....13544, cost so far 12967
end of batch....13545, cost so far 12967
end of batch....13546, cost so far 12967
end of batch....13547, cost so far 12967
end of batch....13548, cost so far 12967
end of batch....13549, cost so far 12967
end of batch....13550, cost so far 12967
end of batch....13551, cost so far 12967
end of batch....13552, cost so far 12967
end of batch....13553, cost so far 12967
end of batch....13554, cost so far 12967
end of batch....13555, cost so far 12967
end of batch....13556, cost so far 12967
end of batch....13557, cost so far 12967
end of batch....13558, cost so far 12967
end of batch....13559, cost so far 12967
end of batch....13560, cost so far 12967
end of batch....13561, cost so far 12967
end of batch....13562, cost so far 12967
end of batch....13563, cost so far 12967
end of batch....13564, cost so far 12967
end of batch....13565, cost so far 12967
end of batch....13566, cost so far 12967
end of batch....13567, cost so far 12967
end of batch....13568, cost so far 12967
end of batch....13569, cost so far 12967
end of batch....13570, cost so far 12967
end of batch....13571, cost so far 12967
end of batch....13572, cost so far 12967
end of batch....13573, cost so far 12967
end of batch....13574, cost so far 12967
end of batch....13575, cost so far 12967
end of batch....13576, cost so far 12967
end of batch....13577, cost so far 12967
end of batch....13578, cost so far 12967
end of batch....13579, cost so far 12967
end of batch....13580, cost so far 12967
end of batch....13581, cost so far 12967
end of batch....13582, cost so far 12967
end of batch....13583, cost so far 12967
end of batch....13584, cost so far 12967
end of batch....13585, cost so far 12967
end of batch....13586, cost so far 12967
end of batch....13587, cost so far 12967
end of batch....13588, cost so far 12967
end of batch....13589, cost so far 12967
end of batch....13590, cost so far 12967
end of batch....13591, cost so far 12967
end of batch....13592, cost so far 12967
end of batch....13593, cost so far 12967
end of batch....13594, cost so far 12967
end of batch....13595, cost so far 12967
end of batch....13596, cost so far 12967
end of batch....13597, cost so far 12967
end of batch....13598, cost so far 12967
end of batch....13599, cost so far 12967
end of batch....13600, cost so far 12967
end of batch....13601, cost so far 12967
end of batch....13602, cost so far 12967
end of batch....13603, cost so far 12967
end of batch....13604, cost so far 12967
end of batch....13605, cost so far 12967
end of batch....13606, cost so far 12967
end of batch....13607, cost so far 12967
end of batch....13608, cost so far 12967
end of batch....13609, cost so far 12967
end of batch....13610, cost so far 12967
end of batch....13611, cost so far 12967
end of batch....13612, cost so far 12967
end of batch....13613, cost so far 12967
end of batch....13614, cost so far 12967
end of batch....13615, cost so far 12967
end of batch....13616, cost so far 12967
end of batch....13617, cost so far 12967
end of batch....13618, cost so far 12967
end of batch....13619, cost so far 12967
end of batch....13620, cost so far 12967
end of batch....13621, cost so far 12967
end of batch....13622, cost so far 12967
end of batch....13623, cost so far 12967
end of batch....13624, cost so far 12967
end of batch....13625, cost so far 12967
end of batch....13626, cost so far 12967
end of batch....13627, cost so far 12967
end of batch....13628, cost so far 12967
end of batch....13629, cost so far 12967
end of batch....13630, cost so far 12967
end of batch....13631, cost so far 12967
end of batch....13632, cost so far 12967
end of batch....13633, cost so far 12967
end of batch....13634, cost so far 12967
end of batch....13635, cost so far 12967
end of batch....13636, cost so far 12967
end of batch....13637, cost so far 12967
end of batch....13638, cost so far 12967
end of batch....13639, cost so far 12967
end of batch....13640, cost so far 12967
end of batch....13641, cost so far 12967
end of batch....13642, cost so far 12967
end of batch....13643, cost so far 12967
end of batch....13644, cost so far 12967
end of batch....13645, cost so far 12967
end of batch....13646, cost so far 12967
end of batch....13647, cost so far 12967
end of batch....13648, cost so far 12967
end of batch....13649, cost so far 12967
end of batch....13650, cost so far 12967
end of batch....13651, cost so far 12967
end of batch....13652, cost so far 12967
end of batch....13653, cost so far 12967
end of batch....13654, cost so far 12967
end of batch....13655, cost so far 12967
end of batch....13656, cost so far 12967
end of batch....13657, cost so far 12967
end of batch....13658, cost so far 12967
end of batch....13659, cost so far 12967
end of batch....13660, cost so far 12967
end of batch....13661, cost so far 12967
